Upper Intercept,Likelihood
1e+07,9.87909473842368e-05
2e+07,0.000141803594700025
3e+07,0.000206070301596717
4e+07,0.000304476481710006
5e+07,0.000460425163725876
6e+07,0.000718259665637187
7e+07,0.0011636239126327
8e+07,0.00196128255835413
9e+07,0.00342151368011766
1e+08,0.00611023735375059
1.1e+08,0.0110227816770583
1.2e+08,0.0198491439234689
1.3e+08,0.0353782238095303
1.4e+08,0.0621372574395437
1.5e+08,0.107457494537557
1.6e+08,0.183270907944322
1.7e+08,0.308933424681125
1.8e+08,0.514979955293301
1.9e+08,0.846787776112728
2e+08,1.36598437077693
2.1e+08,2.14701305645289
2.2e+08,3.26750073659135
2.3e+08,4.79387524947431
2.4e+08,6.76656084906233
2.5e+08,9.19006560078908
2.6e+08,12.0314945260315
2.7e+08,15.2274682890035
2.8e+08,18.6961819405806
2.9e+08,22.3500481979167
3e+08,26.1052764863791
3.1e+08,29.8868631012986
3.2e+08,33.6295057231273
3.3e+08,37.2760776078028
3.4e+08,40.7753927598625
3.5e+08,44.0804403791205
3.6e+08,47.1475511685212
3.7e+08,49.9364145885435
3.8e+08,52.4106089423439
3.9e+08,54.538289159391
4e+08,56.2927908233198
4.1e+08,57.6530528947808
4.2e+08,58.6038753438385
4.3e+08,59.6268705496289
4.4e+08,65.7342926773364
4.5e+08,71.7314140823994
4.6e+08,77.4997879333953
4.7e+08,82.9901776234618
4.8e+08,88.1436266097319
4.9e+08,92.9252990537084
5e+08,97.2835314663295
5.1e+08,101.207805843217
5.2e+08,104.692141144634
5.3e+08,107.770499486965
5.4e+08,110.477710294868
5.5e+08,112.899734017469
5.6e+08,115.050612102507
5.7e+08,117.023074020869
5.8e+08,118.813864787809
5.9e+08,120.454751885756
6e+08,121.970458830349
6.1e+08,123.374885953223
6.2e+08,128.400270222884
6.3e+08,134.918596259895
6.4e+08,140.881250579325
6.5e+08,144.673119227353
6.6e+08,145.04297389886
6.7e+08,144.461313654714
6.8e+08,143.833967923873
6.9e+08,143.174586415317
7e+08,142.433469517919
7.1e+08,141.912925154063
7.2e+08,141.143180658765
7.3e+08,140.627923603268
7.4e+08,140.041089912293
7.5e+08,139.421058758993
7.6e+08,138.818595657583
7.7e+08,138.262920184717
7.8e+08,138.091020251737
7.9e+08,138.619566385461
8e+08,139.015316602932
8.1e+08,139.556183138699
8.2e+08,140.163336911958
8.3e+08,140.669033979247
8.4e+08,141.088198666932
8.5e+08,141.439893104299
8.6e+08,142.0597280745
8.7e+08,142.721017865678
8.8e+08,143.34969437364
8.9e+08,143.957711635112
9e+08,144.553845135103
9.1e+08,145.143351298106
9.2e+08,145.834000148796
9.3e+08,146.667934969656
9.4e+08,147.454189316334
9.5e+08,148.19189797533
9.6e+08,148.882424073801
9.7e+08,149.528435766193
9.8e+08,150.132921023989
9.9e+08,150.698790448552
1e+09,151.229333453734
1.01e+09,151.729334593657
1.02e+09,152.206385106741
1.03e+09,152.671878607635
1.04e+09,153.14122036891
1.05e+09,153.632814824554
1.06e+09,154.165519826376
1.07e+09,154.754633373667
1.08e+09,155.40709690507
1.09e+09,156.117171808601
1.1e+09,156.863991653381
1.11e+09,157.611939292852
1.12e+09,158.313930143439
1.13e+09,158.944484137645
1.14e+09,159.888855227589
1.15e+09,160.752394587707
1.16e+09,161.496022850876
1.17e+09,162.088414424926
1.18e+09,162.506712287377
1.19e+09,162.735572380642
1.2e+09,162.764874139262
1.21e+09,162.58678164875
1.22e+09,162.479383147422
1.23e+09,162.606091459626
1.24e+09,162.578200311931
1.25e+09,162.381324599401
1.26e+09,162.007284017222
1.27e+09,161.458847372587
1.28e+09,160.752381254971
1.29e+09,159.917208231814
1.3e+09,158.991668808997
1.31e+09,158.017061318005
1.32e+09,157.589299470604
1.33e+09,157.451108133661
1.34e+09,157.40145965643
1.35e+09,157.439204681258
1.36e+09,157.550611849475
1.37e+09,157.711550749656
1.38e+09,157.890781682153
1.39e+09,158.054229502832
1.4e+09,158.17025977477
1.41e+09,158.2160153682
1.42e+09,158.184391507968
1.43e+09,158.089213322089
1.44e+09,158.876352024065
1.45e+09,159.868255416386
1.46e+09,160.8979120852
1.47e+09,161.889289819842
1.48e+09,162.69957388045
1.49e+09,163.165111762948
1.5e+09,163.177663259972
1.51e+09,162.739623552304
1.52e+09,161.958376369332
1.53e+09,160.988703176062
1.54e+09,159.969017842943
1.55e+09,158.989367895027
1.56e+09,158.094565339959
1.57e+09,157.302447269517
1.58e+09,156.61894776713
1.59e+09,157.009494768124
1.6e+09,157.558225707471
1.61e+09,158.194098163383
1.62e+09,158.904477086255
1.63e+09,159.672747098337
1.64e+09,160.478140182003
1.65e+09,161.296327283963
1.66e+09,162.100713100423
1.67e+09,162.863942539099
1.68e+09,163.559143320708
1.69e+09,164.160967523544
1.7e+09,164.647001966002
1.71e+09,164.999969602098
1.72e+09,165.210329226538
1.73e+09,165.27806566298
1.74e+09,165.21235649227
1.75e+09,165.028493582609
1.76e+09,164.742405727435
1.77e+09,164.363843073706
1.78e+09,163.889684393803
1.79e+09,164.439112604525
1.8e+09,165.343657339787
1.81e+09,166.080506174946
1.82e+09,166.583312758581
1.83e+09,166.784465327409
1.84e+09,166.628843641833
1.85e+09,166.087404062477
1.86e+09,165.16617791822
1.87e+09,163.907496003042
1.88e+09,162.382936862719
1.89e+09,160.680361650913
1.9e+09,158.88912996126
1.91e+09,157.0875697602
1.92e+09,155.335306348166
1.93e+09,153.671039308721
1.94e+09,152.114702705138
1.95e+09,150.672140328139
1.96e+09,149.340456617369
1.97e+09,148.112735503678
1.98e+09,146.981478491072
1.99e+09,145.940649672161
2e+09,144.986539007017
