Samples,Final Pb207/U235_mean,Final Pb207/U235_2SE(int),Final Pb206/U238_mean,Final Pb206/U238_2SE(int),rho 206Pb/238U v 207Pb/235U,Final Pb207/Pb206 age_mean
JR21WP05_30_1,0.510395733,0.021820867,0.059324135,0.002139505,0.533793077,709.5780008
JR21WP05_30_2,0.745293864,0.047814867,0.083891787,0.004135752,0.925499665,738.993477
JR21WP05_31_1,0.565005023,0.009649454,0.066958008,0.001328338,0.159093804,650.1779847
JR21WP05_31_2,0.642235346,0.024924306,0.07783766,0.000938247,0.203391383,595.6096428
JR21WP05_31_3,0.587407994,0.010807678,0.073869079,0.001247741,0.491050799,521.9554711
JR21WP05_31_4,0.649285381,0.017972751,0.076830682,0.000916907,0.400096688,645.9582772
JR21WP05_32_1,1.553511539,0.039356873,0.141292464,0.004247327,0.857851013,1202.004241
JR21WP05_32_2,1.830552952,0.029588505,0.178814239,0.002734481,0.846845161,1051.705525
JR21WP05_32_3,1.970286462,0.042267486,0.193247829,0.004272217,0.88938423,1050.000016
JR21WP05_33_1,2.062671106,0.03356497,0.184155082,0.002421865,0.821730213,1246.807017
JR21WP05_33_2,2.062501209,0.053812323,0.170539771,0.00817728,0.934638513,1399.034815
JR21WP05_34_1,0.634442038,0.012444442,0.066412563,0.001163669,0.629845199,928.3020273
JR21WP05_34_2,0.644476759,0.025796379,0.069849739,0.001776575,0.757215549,837.3990217
JR21WP05_34_3,0.543220862,0.008462227,0.068511616,0.001309767,0.424985839,534.2938766
JR21WP05_35_1,1.332178616,0.025223973,0.131040448,0.002167056,0.533499302,1045.995947
JR21WP05_36_1,3.100918212,0.043395542,0.243617757,0.003226416,0.585754309,1485.975017
JR21WP05_36_2,2.979325847,0.06990785,0.230208582,0.006022161,0.893182209,1525.176699
JR21WP05_36_3,3.306521015,0.053333399,0.254311419,0.003306214,0.240145042,1525.505188
JR21WP05_36_4,2.80528257,0.088152956,0.191402658,0.007928236,0.657711256,1753.763718
JR21WP05_37_1,2.745029226,0.050661014,0.195968981,0.003510343,0.512450302,1666.79299
JR21WP05_37_2,3.186967965,0.065826335,0.216540721,0.005614835,0.171549562,1760.878585
JR21WP05_37_3,2.931199753,0.07329038,0.242508572,0.006141887,0.441335318,1392.791161
JR21WP05_38_1,1.932245367,0.037960981,0.175777883,0.003649244,0.666541616,1205.250829
JR21WP05_38_2,2.049464688,0.047403256,0.186452075,0.004120129,0.608700971,1203.289359
JR21WP05_38_3,2.2007864,0.035619918,0.203367643,0.002987091,0.535505835,1172.84934
JR21WP05_38_4,2.194532878,0.043969015,0.203946093,0.003916791,0.621073594,1161.524225
JR21WP05_38_5,2.11876067,0.038158631,0.191564281,0.0028451,0.673409767,1215.368364
JR21WP05_39_1,3.796416291,0.043403879,0.2668955,0.00371938,0.768356217,1695.236054
JR21WP05_39_2,4.185180678,0.109164379,0.288363648,0.010198199,0.90139607,1736.903869
JR21WP05_40_1,2.150166584,0.095548641,0.15040273,0.008679457,0.954276067,1714.616175
JR21WP05_40_2,2.44227986,0.046067544,0.178893627,0.003564335,0.506834553,1618.598327
JR21WP05_40_3,1.988023195,0.047940352,0.109124387,0.003024368,0.623960399,2137.685028
JR21WP05_42_1,4.132990505,0.086047464,0.302742247,0.00722476,0.791519006,1617.003461
JR21WP05_42_2,3.720951362,0.076578578,0.263849702,0.006058576,0.837792961,1678.089504
JR21WP05_42_3,3.98798476,0.090596171,0.28953712,0.006105267,0.873371787,1632.459359
JR21WP05_42_4,3.823042588,0.049485641,0.273878976,0.003920674,0.813655536,1658.34275
JR21WP05_43_1,0.58132103,0.011103645,0.074148763,0.001430815,0.579237771,500.8936104
JR21WP05_43_2,0.600634033,0.008287547,0.070672276,0.000847156,0.390621783,675.1692565
JR21WP05_43_3,0.56618333,0.009227445,0.07229288,0.001034853,0.378529625,495.76961
JR21WP05_43_4,0.564737562,0.009275294,0.072787957,0.001221864,0.576997007,476.5094251
JR21WP05_44_1,2.02766834,0.03297175,0.182148696,0.003154703,0.661527739,1223.859787
JR21WP05_44_2,2.280964823,0.048398855,0.208350333,0.003159295,0.410645994,1185.864661
JR21WP05_44_3,2.208280165,0.067308497,0.204723101,0.004868387,0.41679978,1161.906814
JR21WP05_44_4,2.198879817,0.039644813,0.206275373,0.003484646,0.427745305,1138.051234
JR21WP05_45_1,0.934492198,0.027406209,0.067937226,0.001808323,0.401749855,1630.808064
JR21WP05_45_2,0.589498249,0.012083599,0.073188583,0.001451484,0.458256231,557.6290594
JR21WP05_45_3,0.682532984,0.026688213,0.073705984,0.001625265,-0.063842022,857.2961268
JR21WP05_45_4,0.670282635,0.027156859,0.080758457,0.001759509,0.737005022,610.9860637
JR21WP05_46_1,2.944820906,0.090231047,0.216793342,0.006915008,0.86562386,1604.449566
JR21WP05_46_2,3.160249984,0.079644953,0.246190702,0.005945435,0.667030056,1495.982239
JR21WP05_46_3,3.536028628,0.167105256,0.24992156,0.015867131,0.939319936,1688.463979
JR21WP05_47_1,1.923384771,0.076187254,0.187587819,0.006717143,0.760961471,1041.836447
JR21WP05_47_2,1.807187278,0.031707214,0.168420953,0.003298589,0.653488742,1140.652594
JR21WP05_47_3,1.751745738,0.034716159,0.152616287,0.003406879,0.656269184,1296.77892
JR21WP05_47_4,1.859115262,0.044931673,0.175527543,0.003524,0.307464965,1119.176655
JR21WP05_47_5,1.824927321,0.053002302,0.168814995,0.004987332,0.876197871,1164.294111
JR21WP05_48_1,2.264749393,0.07664671,0.193418198,0.006533024,0.764125391,1290.860054
JR21WP05_48_2,2.329586588,0.04817975,0.201790688,0.002813867,0.665102803,1285.509929
JR21WP05_49_1,3.694835662,0.068423909,0.243459479,0.003945619,0.776773125,1800.969561
JR21WP05_49_2,4.078366979,0.181404958,0.268008119,0.010471637,0.858828089,1802.35757
JR21WP05_49_3,4.288107379,0.059740077,0.300580113,0.004648262,0.854697184,1687.656983
JR21WP05_50_1,0.651710299,0.016541151,0.081309448,0.001675374,0.649712502,531.7930678
JR21WP05_50_2,1.000542839,0.028726926,0.058376864,0.002580595,0.754873189,2026.802991
JR21WP05_50_3,0.618138036,0.031227644,0.070844066,0.002409443,0.796864649,699.6718469
JR21WP05_50_4,0.603914023,0.017238522,0.073119381,0.001485577,0.686063632,591.7737026
JR21WP05_50_5,0.578474041,0.017949834,0.075400851,0.000951337,0.765523289,435.3525771
JR21WP05_50_6,0.589921876,0.013274766,0.076104065,0.001992911,0.656337713,465.4540568
JR21WP05_50_7,0.585709062,0.012614632,0.071982925,0.00202248,0.467307845,572.0775827
JR21WP05_51_1,1.589286502,0.098881847,0.129609521,0.007405786,0.95946061,1385.38664
JR21WP05_51_2,2.699661527,0.033802654,0.214924869,0.003310501,0.83548594,1454.65032
JR21WP05_51_3,2.722506812,0.024254924,0.217255842,0.002092259,0.706528907,1452.037006
JR21WP05_52_1,1.814162925,0.042528592,0.171515424,0.004467705,0.80096258,1133.565341
JR21WP05_52_2,1.942562895,0.027782193,0.186604335,0.003169151,0.738990516,1082.093958
JR21WP05_52_3,1.885380914,0.042127582,0.178582682,0.004839303,0.803397214,1128.392268
JR21WP05_52_4,1.740487724,0.041264663,0.156937441,0.003601982,0.285635311,1211.439242
JR21WP05_52_5,1.874336441,0.032986963,0.183142702,0.003025354,0.706851568,1057.785849
JR21WP05_52_6,1.885238146,0.036160786,0.183240261,0.003306341,0.538881112,1070.476347
JR21WP05_52_7,1.975879628,0.036541724,0.178321027,0.003263344,0.69551994,1217.300748
JR21WP05_52_8,2.060877574,0.095154144,0.176854299,0.005489655,0.511986137,1316.127105
JR21WP05_53_1,1.659454429,0.02015686,0.165840337,0.002627643,0.865745469,997.5907351
JR21WP05_53_2,1.734534078,0.022989063,0.167280767,0.002673914,0.630349136,1096.784376
JR21WP05_53_3,2.046735358,0.033087625,0.197547332,0.00322059,0.553707699,1087.870097
JR21WP05_53_4,1.833290599,0.04418543,0.176510834,0.003799586,0.891319859,1080.594599
JR21WP05_54_1,1.847186298,0.156161699,0.177054144,0.010050346,0.973822654,1055.742311
JR21WP05_54_2,1.651278616,0.049735226,0.167519192,0.006063658,0.871109663,985.0733786
JR21WP05_54_3,1.45708887,0.051355008,0.143664862,0.005520238,0.883706154,1040.560706
JR21WP05_55_1,2.149217367,0.12848399,0.179482927,0.007896088,0.890380152,1346.739854
JR21WP05_55_2,3.108435247,0.074463565,0.247194794,0.009688686,0.696266376,1475.239548
JR21WP05_55_3,2.733843714,0.054676576,0.221220787,0.004604488,0.785730961,1410.515344
JR21WP05_55_4,3.030733771,0.065013538,0.242582926,0.005286736,0.783281066,1445.569709
JR21WP05_55_5,2.578961037,0.045210341,0.212219389,0.004643525,0.691752465,1385.813248
JR21WP05_56_1,2.762789848,0.073089379,0.232536046,0.00604726,0.873241214,1340.226761
JR21WP05_56_2,2.476033476,0.070185512,0.198693073,0.006087504,0.867992266,1432.784943
JR21WP05_57_1,1.961225905,0.05671072,0.185512087,0.004306871,0.829798511,1111.203737
JR21WP05_57_2,1.773873047,0.030271521,0.167174478,0.003882365,0.552645498,1124.478376
JR21WP05_57_3,1.485572307,0.064772274,0.144721046,0.004050397,0.849003979,1045.729413
JR21WP05_57_4,2.010741325,0.054376146,0.184179449,0.003845483,0.529228292,1176.758834
JR21WP05_57_5,1.773305149,0.038938987,0.166153534,0.003984983,0.655102721,1138.415021
JR21WP05_58_1,2.277749471,0.055136452,0.191359264,0.005657503,0.812378876,1354.384032
JR21WP05_58_2,1.896813013,0.075813897,0.152253729,0.010312338,0.951605749,1468.88668
JR21WP05_59_1,0.878566241,0.038157952,0.070447716,0.001111013,0.41989674,1429.245095
JR21WP05_59_2,0.839721438,0.035358845,0.063872459,0.001047826,0.524318193,1552.284708
JR21WP05_59_3,1.255899757,0.051432127,0.064552573,0.003936752,0.953352029,2259.642201
JR21WP05_59_5,0.924637609,0.022964993,0.072893658,0.00212991,0.844937284,1473.709636
JR21WP05_59_6,1.257406258,0.035496212,0.049364207,0.001519211,-0.007017869,2710.036431
JR21WP05_59_7,0.652234619,0.011119477,0.069578444,0.000871758,0.190702452,885.4214073
JR21WP03_1_1,3.417241188,0.107084138,0.240414773,0.007882261,0.942486312,1684.98572
JR21WP03_1_2,4.001474914,0.043893926,0.284615219,0.004088936,0.635745235,1662.392923
JR21WP03_1_3,3.107653607,0.10703579,0.224544004,0.008882391,0.902897709,1633.542225
JR21WP03_2_1,0.564214655,0.013502909,0.068659103,0.00189513,0.517058058,599.6148491
JR21WP03_2_2,0.530333386,0.012429287,0.06929172,0.002273828,0.642271015,444.5091947
JR21WP03_2_3,0.546570882,0.017694397,0.069729093,0.002358934,0.450896697,492.2361597
JR21WP03_3_1,1.872282539,0.030001608,0.130628579,0.002946635,0.649018764,1699.899841
JR21WP03_4_1,1.837365661,0.030722712,0.173143059,0.003321452,0.830129027,1121.776348
JR21WP03_4_2,1.877466361,0.041014562,0.177893784,0.004266619,0.852324608,1110.429052
JR21WP03_4_3,1.91601915,0.024600095,0.187007735,0.002572406,0.612018909,1050.188103
JR21WP03_4_4,1.909825577,0.019622776,0.185794257,0.002391058,0.454139045,1056.954104
JR21WP03_4_5,1.912766998,0.021355235,0.185281579,0.002733685,0.665838653,1065.977689
JR21WP03_4_6,1.873608304,0.025955186,0.183010013,0.00252927,0.612846432,1048.084471
JR21WP03_5_1,3.332192073,0.035179373,0.268059934,0.003919046,0.800774319,1436.166323
